"upload" "webget" "enqcount" "callwait" "churn"
"103" 12.7 544.1 2 12.81 "no"
"104" 13.4 724.6 4 10.64 "yes"
"105" 10.9 514.2 1 8.85 "no"
"106" 13 759.4 6 7.42 "yes"
"107" 14 477 1 6.9 "no"
"108" 9.5 219.7 5 8.72 "no"
"109" 9.6 439.2 5 8.75 "no"
"110" 12.8 283.1 3 12.43 "no"
"111" 7.7 280.9 5 5.31 "no"
"112" 4.8 241.1 1 4.67 "no"
"113" 10.3 315.6 1 7.18 "no"
"114" 11.1 432.5 7 5.42 "no"
"115" 5.5 335.1 2 4.49 "no"
"116" 8.5 435 7 7.55 "yes"
"117" 9.4 254.8 5 10.5 "no"
"118" 9.3 271.5 4 8.2 "no"
"119" 12.5 499.4 2 5.92 "no"
"120" 5.7 136.4 4 10.64 "no"
"121" 10.3 311.3 3 9.86 "no"
"122" 18.7 889.5 0 0 "yes"
"123" 16.2 505.7 1 12.53 "yes"
"124" 9 294.4 2 10.37 "no"
"125" 14 347.2 7 13.16 "yes"
"126" 8.3 268.5 2 9.06 "no"
"127" 12.5 335.7 3 9.11 "no"
"128" 9.5 880.3 4 12.92 "yes"
"129" 7.9 194.9 2 10.03 "no"
"130" 4.6 169 6 10.33 "no"
"131" 10.8 271.5 1 8.02 "no"
"132" 5.9 266 7 7.65 "no"
"133" 9.7 367 7 6.64 "yes"
"134" 10.3 248.2 2 7.01 "no"
"135" 4.8 209.1 2 10.89 "no"
"136" 12.9 411.7 2 7.5 "no"
"137" 13.7 368.2 7 7.08 "yes"
"138" 13.4 508.8 1 9.44 "no"
"139" 9.9 288.7 3 9.35 "no"
"140" 10.7 344.9 4 6.46 "no"
"141" 12.2 411.2 1 11.28 "no"
"142" 13.8 517.3 2 10.77 "no"
"143" 13.3 613.3 3 9.15 "yes"
"144" 14.9 327.2 6 7.18 "no"
"145" 10.8 350.6 7 12 "yes"
"146" 11.2 331.1 6 4.4 "no"
"147" 11.1 405.9 7 8.05 "yes"
"148" 5.9 175.6 1 14.19 "yes"
"149" 14.7 772 4 11.05 "yes"
"150" 8.9 363 6 7.63 "no"
"151" 10.3 274.2 0 0 "no"
"152" 12.5 362.9 6 6.46 "no"
"153" 9 211.3 1 7.64 "no"
"154" 13.1 365.8 2 6.32 "no"
"155" 9 193.9 1 4.88 "no"
"156" 12.2 345.3 1 12.51 "no"
"157" 11.5 448.9 3 6.91 "no"
"158" 8.1 288.6 2 8.63 "no"
"159" 9.3 388.2 2 13.52 "yes"
"160" 18.2 919.2 4 7.31 "yes"
"161" 10.4 376.3 1 5.72 "no"
"162" 8.7 314.4 5 8.7 "no"
"163" 12.7 474.1 2 9.45 "no"
"164" 9.5 220.4 4 10.41 "no"
"165" 6.6 189.1 7 12.12 "no"
"166" 12.5 449.6 2 9.42 "no"
"167" 7.6 243.2 7 6.09 "no"
"168" 10.4 297.6 5 11.23 "no"
"169" 4.6 148.5 7 10.21 "yes"
"170" 11.6 390.6 3 9.95 "no"
"171" 8.2 321.5 2 7.88 "no"
"172" 12.8 380.9 7 9.17 "no"
"173" 9.1 250.5 2 5.82 "no"
"174" 6.5 335.7 1 11.4 "no"
"175" 12.3 520.8 3 8.3 "no"
"176" 11.2 199 3 7.85 "no"
"177" 5.4 161.3 3 10.51 "no"
"178" 14.4 449.2 2 12.57 "no"
"179" 12 228.2 3 5.94 "no"
"180" 15.7 731.9 3 8.12 "yes"
"181" 12 218.5 0 0 "no"
"182" 8.9 418.8 6 10.74 "no"
"183" 6.7 212.2 2 8.63 "no"
"184" 10.7 421.2 0 0 "no"
"185" 9.7 199.2 3 9.81 "no"
"186" 14.6 637.3 4 5.27 "yes"
"187" 14.3 672.8 5 7.3 "yes"
"188" 14.1 303.8 1 10.39 "no"
"189" 11.8 492.7 0 0 "no"
"190" 10.3 613.1 0 0 "yes"
"191" 16.6 773.3 4 10.6 "yes"
"192" 7.2 164.6 0 0 "no"
"193" 13.3 313.1 1 6.12 "no"
"194" 12 421.6 7 15.23 "yes"
"195" 7.8 182 5 8.65 "no"
"196" 8.9 209.1 3 6.09 "no"
"197" 12.3 616.9 4 13.79 "yes"
"198" 16.4 466.9 0 0 "yes"
"199" 13.1 349.5 3 8.59 "no"
"200" 9.9 237.8 6 10.47 "no"
"201" 10 309.3 4 8.61 "no"
"202" 10.6 377.4 1 9.4 "no"
"203" 7.8 377.4 2 7.27 "no"
"204" 10 244 2 5.83 "no"
"205" 11.1 384 6 10.91 "no"
"206" 7.6 246.4 2 9.04 "no"
"207" 11.3 261.9 3 5.36 "no"
"208" 11.3 338.6 3 6.81 "no"
"209" 6.6 191.5 5 7.46 "no"
"210" 10.5 273.6 1 11.27 "no"
"211" 11.3 536.9 7 7.22 "no"
"212" 12.4 629.4 6 7.64 "yes"
"213" 10.6 362.7 7 6.67 "no"
"214" 6.9 204.2 4 9.2 "no"
"215" 9.4 260.8 4 10.33 "no"
"216" 10.6 297.8 3 7.58 "no"
"217" 12.6 802.6 4 10.51 "yes"
"218" 12 390.5 3 8.15 "no"
"219" 10.9 518.9 6 8.6 "no"
"220" 12.5 412.3 2 6.16 "no"
"221" 14.5 293.2 2 12.21 "no"
"222" 5.7 304.9 5 10.71 "no"
"223" 12.5 411.1 3 7.77 "no"
"224" 11.6 312.9 5 12.1 "no"
"225" 13.9 609.5 3 7.26 "yes"
"226" 8.6 315.4 4 7.86 "no"
"227" 13.9 402.1 4 10.3 "no"
"228" 10.9 271.9 3 9.86 "no"
"229" 7.9 254.7 2 9.16 "no"
"230" 11.9 694 2 10.84 "yes"
"231" 9.4 221.3 6 9.71 "no"
"232" 14.2 569.5 5 8.72 "no"
"233" 13.2 748.2 2 7.77 "yes"
"234" 10.5 393.1 1 6.35 "no"
"235" 11.6 339.9 6 6.95 "no"
"236" 6.7 246.8 1 10.41 "no"
"237" 10.6 358.3 2 10.13 "no"
"238" 10.8 578.4 3 6.33 "no"
"239" 8.8 228.9 6 9.24 "no"
"240" 12 278.7 3 10.62 "no"
"241" 11 427.1 0 0 "no"
"242" 13.1 464.8 0 0 "no"
"243" 17 808.5 0 0 "yes"
"244" 9.5 350 5 9.3 "no"
"245" 13.7 515.9 3 8.02 "no"
"246" 13.6 448.2 2 9.25 "no"
"247" 6.8 235.3 7 7.73 "yes"
"248" 9.5 362.7 4 6.85 "no"
"249" 10.2 305.5 3 4.94 "no"
"250" 14.3 640.1 3 6.96 "yes"
"251" 7.6 367.2 5 7.98 "no"
"252" 8 211.9 3 7.81 "no"
"253" 7.5 243.5 1 6.97 "no"
"254" 11.3 213.8 1 10.06 "no"
"255" 8.5 357.2 6 11.1 "no"
"256" 11.6 428.1 2 10.96 "no"
"257" 8.4 290.5 2 6.82 "no"
"258" 11.7 468.7 2 11.01 "no"
"259" 10.3 255.8 6 9.64 "no"
"260" 7.3 245.3 3 7.8 "no"
"261" 13.9 386.4 1 6.31 "no"
"262" 13.4 550.4 2 10.16 "no"
"263" 15.4 282.3 3 7.32 "yes"
"264" 9.8 394.8 2 10.55 "no"
"265" 8.6 253.1 1 7.24 "no"
"266" 11.2 283.3 2 7.82 "no"
"267" 6.7 209.7 2 7.35 "no"
"268" 13.3 313.9 5 6.41 "no"
"269" 13.9 538.1 3 13.06 "yes"
"270" 12 474.6 3 7.15 "no"
"271" 5.7 234.5 2 7.63 "no"
"272" 8.3 176.5 2 10.23 "no"
"273" 14.8 484.6 7 6.89 "yes"
"274" 12.8 493.7 2 6.75 "no"
"275" 15.8 990.5 7 9.4 "no"
"276" 7.8 241.8 1 8.41 "no"
"277" 10.1 414.3 3 6.02 "no"
"278" 12.4 576.9 2 9.5 "no"
"279" 9.1 226.2 3 6.91 "no"
"280" 14.5 606.3 6 8.56 "yes"
"281" 8.7 293.8 2 8.37 "no"
"282" 11 285 2 12.55 "no"
"283" 7.8 309.8 4 7.99 "no"
"284" 8.9 218.3 7 7.27 "yes"
"285" 9.3 382.8 7 10.63 "no"
"286" 10.3 228 0 0 "no"
"287" 11.8 268.7 2 10.15 "no"
"288" 10.7 216.4 4 4.8 "no"
"289" 7 351.9 2 9.06 "no"
"290" 5 241.3 7 9.2 "yes"
"291" 7.3 292.7 4 6.33 "no"
"292" 6.8 354 2 7.23 "no"
"293" 14.9 392 4 5.02 "no"
"294" 7.6 591.8 3 10.52 "no"
"295" 13.6 370 7 7.32 "yes"
"296" 14 454.4 4 3.96 "no"
"297" 9.9 275.5 3 7.41 "no"
"298" 11.7 280.1 2 6.61 "no"
"299" 11.5 309.8 5 12.65 "no"
"300" 10.8 656.1 2 13.39 "yes"
"301" 11.7 1009 6 9.86 "yes"
"302" 7.5 216.8 0 0 "no"
"303" 16.5 399 2 7.76 "yes"
"304" 9.4 180.1 4 7.21 "no"
"305" 11.3 183.4 4 8.36 "no"
"306" 13.2 427.3 7 10.37 "yes"
"307" 9.6 205.3 6 12.04 "no"
"308" 7.8 160.1 2 8.18 "no"
"309" 10.6 335.5 7 7.99 "yes"
"310" 13 289.7 2 7.78 "no"
"311" 18 756.2 2 9.17 "yes"
"312" 9.1 253 7 13.17 "yes"
"313" 14.4 563.6 3 10.32 "no"
"314" 12.7 358.3 3 12.16 "no"
"315" 13.6 711.6 1 8.32 "yes"
"316" 11.4 436.1 2 8.87 "no"
"317" 12.4 345.2 5 12.91 "no"
"318" 9.1 278.8 4 10.72 "no"
"319" 11.5 517.1 2 8.32 "no"
"320" 14.1 449.6 1 9.03 "no"
"321" 9 253.9 3 6.97 "no"
"322" 5.6 221.3 1 7.77 "no"
"323" 10.5 461.4 1 14.6 "yes"
"324" 13.5 634 2 7.37 "yes"
"325" 10.6 418.9 3 9.03 "no"
"326" 11.3 497.7 2 5.67 "no"
"327" 12 331.4 4 7.19 "no"
"328" 14.2 371.8 3 11.71 "no"
"329" 10.6 290.9 6 8.18 "no"
"330" 13.4 380.6 3 4.89 "no"
"331" 8.7 249.3 5 8.94 "no"
"332" 14.6 511.8 6 11.47 "no"
"333" 13 424.1 2 12.22 "no"
"334" 6.7 456.5 6 3.59 "no"
"335" 14.9 581.9 2 6.77 "no"
"336" 8.6 698.7 6 8.52 "yes"
"337" 10.6 305.4 1 4.78 "no"
"338" 12.8 415 1 12.07 "no"
"339" 11.5 360.2 6 8.87 "no"
"340" 7.7 254.9 0 0 "no"
"341" 8.4 293.2 3 11.25 "no"
"342" 7.6 164 2 11.73 "no"
"343" 8.2 463.9 1 9.15 "no"
"344" 12.5 476.3 4 4.59 "no"
"345" 8.5 442.5 5 8.1 "no"
"346" 7.8 228.3 5 11.19 "no"
"347" 13.4 539.6 6 10.71 "no"
"348" 10.6 243.3 1 7.27 "no"
"349" 10.5 268.5 1 12.15 "no"
"350" 10.1 189 5 9.52 "no"
"351" 10.9 387.7 5 10.07 "no"
"352" 15.6 322.4 3 8.32 "yes"
"353" 12.1 246.4 7 11.3 "no"
"354" 13.3 248.5 2 8.16 "no"
"355" 7.7 353.1 5 9.03 "no"
"356" 6.9 162.8 6 11.4 "no"
"357" 15.8 730.2 3 8.6 "yes"
"358" 11.6 255 2 7.28 "no"
"359" 7.9 176.4 1 10.04 "no"
"360" 11.8 598.8 3 10.4 "no"
"361" 8.6 321.3 1 8.79 "no"
"362" 12.1 229.5 5 10.99 "no"
"363" 6.9 275 2 10.78 "no"
"364" 9.2 185.1 0 0 "no"
"365" 11.8 422.4 3 10.39 "no"
"366" 12.4 427.5 5 4.83 "no"
"367" 11.2 284.1 6 12.87 "no"
"368" 13.5 602.4 2 8.65 "yes"
"369" 11.2 310.7 4 9.56 "no"
"370" 12.3 469.6 7 5.93 "yes"
"371" 7.9 182.7 4 5.42 "no"
"372" 12 363.3 4 9.02 "no"
"373" 12.4 354.5 2 6.87 "no"
"374" 17.1 1544.4 2 10.34 "yes"
"375" 9.2 241.7 2 7.76 "no"
"376" 11.9 240.9 0 0 "no"
"377" 4.8 216.5 2 10.17 "no"
"378" 7.8 154.4 3 14.87 "yes"
"379" 5.2 285.5 1 6.19 "no"
"380" 11.3 290.9 1 11.12 "no"
"381" 13.3 266.5 3 8.72 "no"
"382" 7.3 177.3 2 7.74 "no"
"383" 10 448.7 4 6.39 "no"
"384" 12.2 365.3 1 7.34 "no"
"385" 8 285.2 2 13.57 "yes"
"386" 13.2 361.4 5 13.69 "yes"
"387" 9.2 263.1 1 12.61 "no"
"388" 6.2 235 2 10.92 "no"
"389" 13.5 265.6 6 7.5 "no"
"390" 6.6 279 6 9.8 "no"
"391" 12.8 530.2 1 12.54 "no"
"392" 12.8 382.2 1 7.24 "no"
"393" 10.1 329.9 6 5.58 "no"
"394" 16.9 1000.3 7 8.25 "no"
"395" 13.4 458 3 5.11 "no"
"396" 18.3 594.3 6 10.76 "yes"
"397" 13.8 463.9 5 6.07 "no"
"398" 5.9 236.2 4 8.2 "no"
"399" 8.5 242.3 7 6.98 "yes"
"400" 12.6 455 2 6.31 "no"
"401" 5.7 164.7 5 9.95 "no"
"402" 12 331.2 2 7.19 "no"
"403" 7.7 226.3 4 7.77 "no"
"404" 11.2 514.7 6 9.98 "no"
"405" 10.4 325.9 3 10.93 "no"
"406" 12.9 428.5 7 8.33 "yes"
"407" 11.7 576 5 8.55 "no"
"408" 8.3 281.4 2 11.42 "no"
"409" 11 416.5 4 5.97 "no"
"410" 15.8 229.5 3 7.62 "yes"
"411" 11.5 336.5 1 6.75 "no"
"412" 7.9 240.8 1 9.53 "no"
"413" 6.5 344.4 6 12.09 "no"
"414" 7.2 200 7 8.9 "yes"
"415" 10.5 280.1 5 5.97 "no"
"416" 7.9 239.4 4 9.74 "no"
"417" 8.5 164 1 7.83 "no"
"418" 11.5 268.8 2 7.84 "no"
"419" 8.5 203.2 1 10.94 "no"
"420" 11.7 213.8 5 13.31 "yes"
"421" 10.5 456.7 6 9.51 "no"
"422" 12.5 223.7 5 11.14 "no"
"423" 9.3 393.7 2 7.81 "no"
"424" 7.1 240.7 1 7.59 "no"
"425" 8.8 265.4 2 10.53 "no"
"426" 14.2 503.1 0 0 "no"
"427" 14.4 437 6 7.92 "no"
"428" 9.8 283.2 2 8.63 "no"
"429" 8.6 277.8 2 9.94 "no"
"430" 13.1 518.2 3 14.16 "yes"
"431" 8.3 219 7 6.45 "yes"
"432" 9.5 270 4 6.6 "no"
"433" 16.7 943 3 6.66 "yes"
"434" 7.9 231.4 1 7.98 "no"
"435" 12 293.1 2 7.85 "no"
"436" 11.2 386.5 3 7.87 "no"
"437" 4.4 185.1 7 9.27 "yes"
"438" 11.5 441.6 5 8.9 "no"
"439" 4.4 155.7 2 10.35 "no"
"440" 11.3 258.1 7 6.82 "yes"
"441" 18.6 914.9 2 12.49 "yes"
"442" 14 604.3 7 5.85 "yes"
"443" 13.7 527.4 5 9.06 "no"
"444" 8.7 330.7 6 6.81 "no"
"445" 13.9 447.6 3 9.8 "no"
"446" 8.7 304.7 3 8.95 "no"
"447" 7.9 351.2 4 7.51 "no"
"448" 11.2 164 6 4.8 "no"
"449" 6.5 205 2 5.84 "no"
"450" 4.5 167.5 6 8.79 "no"
"451" 8.1 312.7 6 11.32 "no"
"452" 11.6 379.2 6 7.7 "no"
"453" 6 217.2 1 5.95 "no"
"454" 15.6 747.7 2 6.49 "yes"
"455" 8.6 371.1 7 7.6 "yes"
"456" 7.5 174.8 3 10.58 "no"
"457" 8.8 271.2 2 9.14 "no"
"458" 5.2 190.2 2 5.06 "no"
"459" 11 403.8 7 10.94 "no"
"460" 14.8 462.9 3 9.01 "no"
"461" 14.7 845.5 4 4.9 "yes"
"462" 12.6 490.8 2 12.33 "no"
"463" 13.1 465.7 7 9.66 "no"
"464" 7.5 217.1 1 15.11 "yes"
"465" 14.5 291.5 1 9.24 "no"
"466" 9.4 201.5 1 5.29 "no"
"467" 11.6 313.1 2 10.19 "no"
"468" 8.8 317.6 6 7.44 "no"
"469" 8.5 313.1 5 11.53 "no"
"470" 7.7 243.5 0 0 "no"
"471" 6.4 169.1 3 9.16 "no"
"472" 5.6 158.6 6 8.79 "no"
"473" 12.2 539.3 2 9.46 "no"
"474" 16.3 667.3 2 4.02 "yes"
"475" 14.6 565.8 0 0 "no"
"476" 11.2 272.3 5 10.13 "no"
"477" 13.6 369.7 2 9.29 "no"
"478" 11.6 317.6 0 0 "no"
"479" 10.4 350.6 0 0 "no"
"480" 13.1 309.3 1 10.32 "no"
"481" 13.7 335.6 2 8.09 "no"
"482" 11.4 258.3 7 6.01 "yes"
"483" 13.2 638.4 6 9.43 "yes"
"484" 9 305.1 0 0 "no"
"485" 9.1 240.5 3 13.85 "yes"
"486" 15.5 321 6 6.48 "yes"
"487" 10.6 467.5 3 14.76 "yes"
"488" 8.9 259.2 7 8.4 "yes"
"489" 12.3 646 6 6.36 "yes"
"490" 12.2 426.6 3 9.86 "no"
"491" 10.3 257.8 4 12.01 "no"
"492" 12.7 322.6 2 13.2 "yes"
"493" 12.4 209 2 7.05 "no"
"494" 11.5 380.9 2 6.21 "no"
"495" 4.6 152.1 2 8.44 "no"
"496" 11.1 688.3 2 9.16 "yes"
"497" 10.3 289.6 1 4.91 "no"
"498" 19.8 966.9 5 8.1 "yes"
"499" 8.6 159.8 1 6.83 "no"
"500" 12.5 733.9 2 10.81 "yes"
